"","id","Nombre_legislador","Provincia","Orientacion","Voto","Genero","Edad","Rango_Edad","Camara","Anio","seats","colour","orden","cantidad_filas","linea_media","government","x","y","row","theta"
"195",195,"Ramos., Alejandro","SANTA FE","OTROS","AFIRMATIVO","MASCULINO",NA,"S/D","Diputadxs",2018,1,"#8DB994",1,8,128,1,1.45181069394631,0.601359679430855,5,0.392699081698724
"196",196,"Rauschenberger,  Ariel","LA PAMPA","PJ","AFIRMATIVO","MASCULINO",46,"46-55","Diputadxs",2018,1,"#8DB994",1,8,128,1,1.86174749728841,0.73068204873279,8,0.373999125427356
"197",197,"Raverta., María Fernanda","BUENOS AIRES","KIRCHNERISMO Y ALIADOS","AFIRMATIVO","FEMENINO",70,"66-75","Diputadxs",2018,1,"#8DB994",1,8,128,1,1.61090163563299,0.586320245701146,6,0.349065850398866
"198",198,"Regidor Belledone,  Estela Mercedes","CORRIENTES","CAMBIEMOS","NEGATIVO","FEMENINO",66,"66-75","Diputadxs",2018,1,"#EA7B77",4,8,128,0,-0.586320245701146,1.61090163563299,6,1.91986217719376
"199",199,"Reyes,  Roxana Nahir","SANTA CRUZ","CAMBIEMOS","AFIRMATIVO","FEMENINO",NA,"S/D","Diputadxs",2018,1,"#8DB994",1,8,128,1,1.20817622672474,0.43974018427586,3,0.349065850398866
"200",200,"Riccardo,  José Luis","SAN LUIS","CAMBIEMOS","AFIRMATIVO","MASCULINO",30,"25-35","Diputadxs",2018,1,"#8DB994",1,8,128,1,1.75651773458689,0.603013299951555,7,0.330693963535768
"201",201,"Ricci,  Nadia Lorena","SANTA CRUZ","CAMBIEMOS","NEGATIVO","FEMENINO",58,"56-65","Diputadxs",2018,1,"#EA7B77",4,8,128,0,-0.382719556766841,1.07686962527865,2,1.91227378914161
"202",202,"Rista., Olga María","CÓRDOBA","CAMBIEMOS","AFIRMATIVO","FEMENINO",71,"66-75","Diputadxs",2018,1,"#8DB994",1,8,128,1,1.35865216613593,0.441452849107068,4,0.314159265358979
"203",203,"Rodenas,  Alejandra","SANTA FE","KIRCHNERISMO Y ALIADOS","AFIRMATIVO","FEMENINO",51,"46-55","Diputadxs",2018,1,"#8DB994",1,8,128,1,0.951056516295154,0.309016994374947,1,0.314159265358979
"204",204,"Rodríguez., Matías","TIERRA DEL FUEGO","KIRCHNERISMO Y ALIADOS","AFIRMATIVO","MASCULINO",NA,"S/D","Diputadxs",2018,1,"#8DB994",1,8,128,1,1.91114561157228,0.589510348821808,8,0.299199300341885
"205",205,"Rodríguez., Rodrigo","BUENOS AIRES","KIRCHNERISMO Y ALIADOS","AFIRMATIVO","MASCULINO",65,"56-65","Diputadxs",2018,1,"#8DB994",1,8,128,1,1.50376338472204,0.456161635685584,5,0.294524311274043
"206",206,"Roma., Carlos Gastón","TIERRA DEL FUEGO","CAMBIEMOS","AFIRMATIVO","MASCULINO",NA,"S/D","Diputadxs",2018,1,"#8DB994",1,8,128,1,1.10047689982606,0.308339167036599,2,0.273181969877373
